Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Fingerprint1,Fingerprint2
N/A,I 29 / 1389421,2.143,yes,346,no,185129995340957910,6916887619107290605
N/A,I 29 / 1389656,2.252,yes,166,no,185128346076137685,-6918130853760467471
N/A,I 29 / 1389980,0.577,yes,180,no,185142639308392673,2301516037711984655
N/A,I 29 / 1389984,3.930,yes,186,no,185144838399805665,2301516037764413975
N/A,I 29 / 13990916,0.686,yes,9,no,185119549428943062,-6923149024890456493
N/A,I 29 / 14203633,0.602,yes,331,no,185166828323555561,6911178954857510013
N/A,I 29 / 14203634,0.785,yes,331,no,185180572200552686,-2312325023331781587
N/A,I 29 / 16101040,0.670,yes,325,no,185429061621336415,-6925765861369188065
N/A,I 29 / 16638309,0.180,yes,334,no,185078868480182467,6920247726411089091
N/A,I 29 / 16935843,0.654,yes,184,no,185158582363834599,-6920857642526049695
N/A,I 29 / 17083899,0.617,yes,274,no,183799039601493623,-2280861403844694949
N/A,I 29 / 17186817,0.261,yes,269,no,185060176797714617,2308671659089855749
N/A,I 29 / 17647835,0.816,yes,180,no,183892497995482791,6941820140016118475
N/A,I 29 / 17714349,0.551,yes,360,no,183911739350402737,6940821783531497887
N/A,I 29 / 17826669,3.797,yes,185,no,184492280572364722,-2289705872792741125
N/A,I 29 / 17826670,0.471,yes,162,no,184474688449234863,-2289595921674003285
N/A,I 29 / 17826671,2.153,yes,151,no,184455996788787101,-2289103340489925409
N/A,I 29 / 18114573,0.334,yes,181,no,184899099014809714,6925943195953008409
N/A,I 29 / 18184821,0.673,yes,180,no,183911189595637425,2329131367057598893
N/A,I 29 / 18221944,0.437,yes,334,no,183940326600296124,6940500726259919011
N/A,I 29 / 18221948,0.694,yes,319,no,184018941585737437,-6895344579024771283
N/A,I 29 / 18221950,1.059,yes,344,no,184042031308949222,-6895476520344607039
N/A,I 29 / 18221951,0.546,yes,343,no,184051926890530543,-6895714014831040891
N/A,I 29 / 18221953,1.158,yes,322,no,184070068810368754,-6895845956111030757
N/A,I 29 / 18221954,0.496,yes,321,no,184092059023001344,6938979002756376045
N/A,I 29 / 18221956,4.244,yes,333,no,184147034544097030,6938877848015873087
N/A,I 29 / 18366620,0.267,yes,1,no,184899648760662130,-6909194024166355219
N/A,I 29 / 18460833,0.441,yes,357,no,184934283280992385,-6909910905613447849
N/A,I 29 / 18618900,0.405,yes,177,no,184933733526751361,2313469927332253023
N/A,I 29 / 18698669,0.029,yes,150,no,185073370926762177,6920274114662892765
N/A,I 29 / 18760367,0.487,yes,173,no,184185517386581805,6937941064115299339
N/A,I 29 / 18760370,4.361,yes,153,no,184144285767649028,6938908634339353667
N/A,I 29 / 18760371,0.496,yes,141,no,184087660980160254,6939005391018665467
N/A,I 29 / 18760372,0.998,yes,141,no,184067869788686066,-6895850354174319065
N/A,I 29 / 18760373,0.605,yes,163,no,184050827379427055,2327666818116757123
N/A,I 29 / 18760377,1.079,yes,159,no,184040382043080421,6939594729072895685
N/A,I 29 / 18760381,0.483,yes,155,no,183938677333903035,6940518318441769125
N/A,I 29 / 18991241,0.045,yes,357,no,184934833029466242,-6910034050915758761
N/A,I 29 / 19527708,0.475,yes,140,no,184821583527888972,2315035631485456427
N/A,I 29 / 19802602,0.600,yes,192,no,185119549431564502,2300253798289897047
N/A,I 29 / 20830740,0.556,yes,178,no,184935932372797571,6923695794328439475
N/A,I 29 / 21053088,0.673,yes,115,no,185062925573638326,-6914713571877190431
N/A,I 29 / 21169756,0.532,yes,176,no,184935932522743938,-2298427197319279377
N/A,I 29 / 22605333,0.337,yes,1,no,184900198526437490,-6909114859327058151
N/A,I 29 / 23354609,0.561,yes,312,no,184844673254770773,-6908477142761205783
N/A,I 29 / 23730193,0.428,yes,358,no,184934832734292099,6922609476840196311
N/A,I 29 / 23730259,0.703,yes,328,no,184427959275833240,-6900661815704805967
N/A,I 29 / 23730260,1.937,yes,331,no,184457096299890591,-6900815747198477081
N/A,I 29 / 23730261,0.506,yes,342,no,184474688450807727,-2289573931441447761
